username,text,created_at,likes,reply_count,url,sentiment,score
,MK Putuskan SD-SMP Swasta Gratis Komisi X DPR Dorong Perubahan Alokasi Dana Pendidikan https://t.co/3BqP6h7KBZ,Fri May 30 04:22:59 +0000 2025,1,0,https://x.com/undefined/status/1928306118851260564,neutral,0.9976264834403992
,Komisi X DPR RI berkomitmen mengawal implementasi putusan Mahkamah Konstitusi (MK) terkait sekolah gratis tingkat SD dan SMP baik swasta maupun negeri. Bagaimana anggarannya? Talk: Ketua Komisi X DPR RI Hetifah Sjaifudian Stream: https://t.co/NJaL0w26ct #E30511 https://t.co/Qmlb3Vf9Un,Fri May 30 04:19:07 +0000 2025,0,0,https://x.com/undefined/status/1928305143335825627,neutral,0.9943469166755676
,MK Putuskan SD-SMA Negeri dan Swasta Gratis Pakar Pendidikan: Tepat Sesuai Amanah UUD Pasal 31 https://t.co/PgzKuZ4gIh,Fri May 30 04:11:28 +0000 2025,3,2,https://x.com/undefined/status/1928303220549636270,neutral,0.9958117008209229
,Respons Wamendagri Bima Arya soal Pendidikan Gratis: Putusan MK Final Mengikat Harus Dilaksanakan https://t.co/y25FyZeWmw,Fri May 30 04:03:08 +0000 2025,3,0,https://x.com/undefined/status/1928301122600702456,neutral,0.997617781162262
,Respons Pemkab Bantul Soal Putusan MK tentang Sekolah Gratis Negeri dan Swasta https://t.co/txORW7iKvf,Fri May 30 03:50:46 +0000 2025,0,0,https://x.com/undefined/status/1928298010431086939,neutral,0.9975159168243408
,MK putuskan SD-SMP wajib gratis tapi di sekolah masih saja minta bayaran? Yuk bongkar faktanya https://t.co/D4QfyaC9V8 https://t.co/FGGhth3q1L,Fri May 30 03:46:34 +0000 2025,0,0,https://x.com/undefined/status/1928296955345785258,negative,0.7479063272476196
,Realokasi anggaran pendidikan harus dilakukan setelah putusan MK secara adil untuk pendidikan dasar negeri dan swasta. Anggaran pendidikan harus diarahkan pada pembiayaan operasional sekolah tunjangan guru dan penyediaan fasilitas penunjang pendidikan dasar gratis...,Fri May 30 03:43:41 +0000 2025,0,0,https://x.com/undefined/status/1928296229064036605,neutral,0.9489753246307373
,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/oWmYrsGpKu,Fri May 30 03:41:14 +0000 2025,0,0,https://x.com/undefined/status/1928295609695363383,neutral,0.9959122538566589
,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/2RORV2iCiF,Fri May 30 03:24:19 +0000 2025,1,0,https://x.com/undefined/status/1928291353626132847,neutral,0.9954492449760437
,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/OM84fL1PVH,Fri May 30 03:24:11 +0000 2025,0,0,https://x.com/undefined/status/1928291322806378782,neutral,0.9956740736961365
,Kata Pengamat soal Putusan MK SD-SMP Gratis: Mudah di Pusat Berat di Daerah https://t.co/HV2cqKCAut,Fri May 30 03:04:30 +0000 2025,0,0,https://x.com/undefined/status/1928286366913417717,neutral,0.9966745376586914
,Aa bisa sekolah swasta gratis semua? https://t.co/M3eDMyjktg MK kabulkan permohonan agar sekolah dasar dan menengah digratiskan. Pengamat sorot kesiapan pemerintah daerah soal anggaran.,Fri May 30 02:09:44 +0000 2025,0,0,https://x.com/undefined/status/1928272584644132965,neutral,0.994956910610199
,MK Putuskan SD-SMP Negeri dan Swasta Gratis Ini Respons DPR dan Kemendikdasmen https://t.co/71rgCKrbvF,Fri May 30 02:06:32 +0000 2025,2,1,https://x.com/undefined/status/1928271779732054330,neutral,0.9976100921630859
,Kemendagri Tanggapi Putusan MK Soal Pendidikan Gratis Akan Disesuaikan dengan Perencanaan Fiskal Daerah https://t.co/tO1LW24Djb,Fri May 30 01:58:00 +0000 2025,0,0,https://x.com/undefined/status/1928269634261725602,neutral,0.9975487589836121
,@glrhn Ya bisa aj swasta gratis berarti full ditanggung pemerintah 9 tahun jutaan anak full dibayar pemerintah mungkin ga pemerintah sanggup? Ya ga mungkin lah jadi keputusan MK ga akan terealisasi.,Fri May 30 01:55:28 +0000 2025,0,0,https://x.com/undefined/status/1928268994827399668,negative,0.9943417310714722
,@dosopriyanto @kompascom @DoSo_10 Ya wajib belajar adalah prioritas di Indonesia didukung putusan MK 27 Mei 2025 yang mewajibkan pendidikan dasar gratis di sekolah negeri dan swasta sesuai Pasal 31 ayat 2 UUD 1945. Ini penting untuk kesetaraan dan pertumbuhan ekonomi. Jika diabaikan dampaknya serius:,Fri May 30 01:53:44 +0000 2025,0,1,https://x.com/undefined/status/1928268559647657987,neutral,0.457157701253891
,Memang Duit Negara Cukup? DPR Pertanyakan Anggaran Sekolah Swasta Gratis Pasca-Putusan MK https://t.co/EqhjhJ7AI5,Fri May 30 01:52:46 +0000 2025,0,0,https://x.com/undefined/status/1928268316134494270,neutral,0.994699239730835
,@dosopriyanto @kompascom @kompascom @doso_10 Tanggung jawab wajib belajar 9 tahun ada pada pemerintah baik pusat maupun daerah. Konstitusi (Pasal 31 ayat 2) dan putusan MK 27 Mei 2025 mewajibkan pendidikan dasar gratis di sekolah negeri dan swasta. Kementerian Pendidikan menetapkan kebijakan dan,Fri May 30 01:48:06 +0000 2025,0,1,https://x.com/undefined/status/1928267139896725653,neutral,0.9923762679100037
,MK Putuskan SD-SMP Swasta Gratis Implementasi Realistis? https://t.co/tuvXexQKR8,Fri May 30 01:20:00 +0000 2025,0,0,https://x.com/undefined/status/1928260068526489787,neutral,0.9960015416145325
,@Mdy_Asmara1701 MK bilang pemerintah wajib menjalankan pendidikan dasar 9 thn GRATIS sesuai UUD45.....lah kenapa MBG yg nda ada di UUD45 malah diprioritaskan??!!,Fri May 30 00:54:34 +0000 2025,2,0,https://x.com/undefined/status/1928253669536870500,negative,0.7826087474822998
,HASBY YUSUF: PUTUSAN MK WAJIB DILAKSANAKAN SEKOLAH DASAR HARUS GRATIS! Anggota DPD RI @hasbyyusuf desak pemerintah tidak cari alasan soal anggaran. #PendidikanGratis #PutusanMK #HasbyYusuf https://t.co/jWmDI7ErHS,Fri May 30 00:32:25 +0000 2025,0,0,https://x.com/undefined/status/1928248095910817889,neutral,0.9927984476089478
